unit|region|pdf_page|form|gloss|context
ex8:1:4|interlinear|20|šilkin|Shelkin|example=8; language=Kalk; translation=In our village, there is a place called Shelkin.
ex8:1:5|interlinear|20|ä|a|example=8; language=Kalk; translation=In our village, there is a place called Shelkin.
ex8:1:6|interlinear|20|baaɡ|place|example=8; language=Kalk; translation=In our village, there is a place called Shelkin.
ex8:1:7|interlinear|20|in|be.PRS|example=8; language=Kalk; translation=In our village, there is a place called Shelkin.
ex9:1:1|interlinear|20|muxáak|before|example=9; language=Palula; translation=Long ago, there was a shepherd in our village.
ex9:1:2|interlinear|20|zamanée|of.time|example=9; language=Palula; translation=Long ago, there was a shepherd in our village.
ex9:1:3|interlinear|20|asée|our|example=9; language=Palula; translation=Long ago, there was a shepherd in our village.
ex9:1:4|interlinear|20|díiš-a|village-OBL|example=9; language=Palula; translation=Long ago, there was a shepherd in our village.
ex9:1:5|interlinear|20|ak|a|example=9; language=Palula; translation=Long ago, there was a shepherd in our village.
ex9:1:6|interlinear|20|bakaraál|shepherd|example=9; language=Palula; translation=Long ago, there was a shepherd in our village.
ex9:1:7|interlinear|20|de|be.PST|example=9; language=Palula; translation=Long ago, there was a shepherd in our village.
ex10:1:1|interlinear|21|äsi|our|example=10; language=Kalk; translation=One of our friends asked a question (lit. did question).
ex10:1:2|interlinear|21|ä|one|example=10; language=Kalk; translation=One of our friends asked a question (lit. did question).
ex10:1:3|interlinear|21|mälɡir-ä|companion-ERG|example=10; language=Kalk; translation=One of our friends asked a question (lit. did question).
ex10:1:4|interlinear|21|tapoos|question|example=10; language=Kalk; translation=One of our friends asked a question (lit. did question).
ex10:1:5|interlinear|21|thääl|do.PFV|example=10; language=Kalk; translation=One of our friends asked a question (lit. did question).
ex11:1:1|interlinear|21|pulis-um|police-PL.OBL|example=11; language=Kalk; translation=The police charged with sticks and brought people under control.
ex11:1:2|interlinear|21|lumaaṭ-um|stick-PL.OBL|example=11; language=Kalk; translation=The police charged with sticks and brought people under control.
ex11:1:3|interlinear|21|dää|beat.CV|example=11; language=Kalk; translation=The police charged with sticks and brought people under control.
ex11:1:4|interlinear|21|xäläq|people|example=11; language=Kalk; translation=The police charged with sticks and brought people under control.
ex11:1:5|interlinear|21|känṭärool|control|example=11; language=Kalk; translation=The police charged with sticks and brought people under control.
ex11:1:6|interlinear|21|thääl|do.PFV|example=11; language=Kalk; translation=The police charged with sticks and brought people under control.
ex12:1:1|interlinear|22|ma|I|example=12; language=Kalk; translation=What should I do?
ex12:1:2|interlinear|22|ɡuwaa|what|example=12; language=Kalk; translation=What should I do?
ex12:1:3|interlinear|22|th-um|do-1SG|example=12; language=Kalk; translation=What should I do?
ex13:1:1|interlinear|22|keedeeši|maybe|example=13; language=Kalk; translation=Maybe he/she will come.
ex13:1:2|interlinear|22|soo|he/she|example=13; language=Kalk; translation=Maybe he/she will come.
ex13:1:3|interlinear|22|yä-Ø|come-3SG|example=13; language=Kalk; translation=Maybe he/she will come.
ex14:1:1|interlinear|22|soo|3SG|example=14; language=Kalk; translation=She is crying.
ex14:1:2|interlinear|22|čikaar|crying|example=14; language=Kalk; translation=She is crying.
ex14:1:3|interlinear|22|d-iin|give-IPFV.F|example=14; language=Kalk; translation=She is crying.
ex15:1:1|interlinear|22|soo|3SG|example=15; language=Kalk; translation=He is coming now.
ex15:1:2|interlinear|22|tipä|now|example=15; language=Kalk; translation=He is coming now.
ex15:1:3|interlinear|22|y-uun|come-IPFV.MSG|example=15; language=Kalk; translation=He is coming now.
