Role,Entry_Key,Parent_Key,Form,Language_IDs,POS,Gloss,Etymology,PDF_Page,Printed_Page
variant,bashir:khowar:c694bf2efe:variant:1,bashir:khowar:c694bf2efe,šaréx,Kho-Bashir-src-mnn,n,crop newly sprouted in winter,Other pronunciation of šareéγ: šaréx,136,123
head,bashir:khowar:255f0b760c,,šareék¹,Kho-Bashir-src-swka|Kho-Bashir-src-rkb,intr verb,to sting,,136,123
head,bashir:khowar:255f0b760c,,šareék²,Kho-Bashir-src-zmz|Kho-Bashir-src-rkb,intr verb,to whisper,,136,123
head,bashir:khowar:9baf29f936,,šaréki,Kho-Bashir-src-chitral-town|Kho-Bashir-src-akm,n,myna,[< Skt. (T12405)],136,123
variant,bashir:khowar:9baf29f936:variant:1,bashir:khowar:9baf29f936,šaríki,Kho-Bashir-src-chitral-town|Kho-Bashir-src-akm,n,myna,Other pronunciation of šaréki: šaríki,136,123
head,bashir:khowar:3ef6f67e3b,,šargú,Kho-Bashir-src-ma|Kho-Bashir-src-mnn|Kho-Bashir-src-iwa|Kho-Bashir-src-parwak,n,droppings/dung (of horse or donkey),[< Skt. (T12241)],136,123
head,bashir:khowar:f7f8952863,,šárum,Kho-Bashir-src-rkb|Kho-Bashir-src-wsic,n,shame,[< Prs.],136,123
subentry,bashir:khowar:f7f8952863:subentry:1,bashir:khowar:f7f8952863,šarmandá,Kho-Bashir-src-rkb|Kho-Bashir-src-wsic,adj,ashamed,Subentry of šárum,136,123
head,bashir:khowar:7c51707c53,,šáru,Kho-Bashir-src-swka|Kho-Bashir-src-akm,adj,cool,[< Skt. (M:1973) (T12662)],136,123
subentry,bashir:khowar:7c51707c53:subentry:1,bashir:khowar:7c51707c53,šarí,Kho-Bashir-src-swka|Kho-Bashir-src-akm,n,coolness,Subentry of šáru,136,123
head,bashir:khowar:6a1d6f9a9e,,šast,Kho-Bashir-src-rakr,,fish hook,,136,123
head,bashir:khowar:8fb9d9e9f9,,šatargahí,Kho-Bashir-src-rakr,n,an ancient type of weapon with curved hooks to pierce and tear flesh,,136,123
head,bashir:khowar:740f1678a5,,šatélik,Kho-Bashir-src-mnn|Kho-Bashir-src-reshun,,"species of small tree, the wood of which is used for making three-pronged pitchforks (thrínguɫ)",,136,123
head,bashir:khowar:8380bc80dc,,šax,Kho-Bashir-src-gnk|Kho-Bashir-src-arc|Kho-Bashir-src-mnn,n,vegetable (cooked or uncooked),[< Skt. (M:1973) (T12370)],136,123
subentry,bashir:khowar:8380bc80dc:subentry:1,bashir:khowar:8380bc80dc,šatará šax,Kho-Bashir-src-gnk|Kho-Bashir-src-arc|Kho-Bashir-src-mnn,n,a very bitter wild herb/green,Subentry of šax,136,123
subentry,bashir:khowar:8380bc80dc:subentry:2,bashir:khowar:8380bc80dc,šaxoóγ,Kho-Bashir-src-gnk|Kho-Bashir-src-arc|Kho-Bashir-src-mnn,n,water in which vegetables have been boiled,Subentry of šax,136,123
head,bashir:khowar:41a0025bd8,,šaxéik,Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-wsic|Kho-Bashir-src-wur|Kho-Bashir-src-my,tr verb,to crush,,136,123
variant,bashir:khowar:41a0025bd8:variant:1,bashir:khowar:41a0025bd8,šaxeék,Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-wsic|Kho-Bashir-src-wur|Kho-Bashir-src-my,tr verb,to crush,Other pronunciation of šaxéik: šaxeék,136,123
head,bashir:khowar:ca5a582c97,,šaxt¹,Kho-Bashir-src-sg|Kho-Bashir-src-parwak,n,condition,"[< Ar., Prs., Turkic]",136,123
variant,bashir:khowar:ca5a582c97:variant:1,bashir:khowar:ca5a582c97,šart,Kho-Bashir-src-sg|Kho-Bashir-src-parwak,n,condition,"Other pronunciation of šaxt¹: šart, šaht",136,123
variant,bashir:khowar:ca5a582c97:variant:2,bashir:khowar:ca5a582c97,šaht,Kho-Bashir-src-sg|Kho-Bashir-src-parwak,n,condition,"Other pronunciation of šaxt¹: šart, šaht",136,123
head,bashir:khowar:ca5a582c97,,šaxt²,Kho,n,wish,,136,123
head,bashir:khowar:a8fb2e9f24,,šaydás,Kho-Bashir-src-swka,n,village in Laspur Valley,,136,123
