LSI-MARATHIDESHI,,pā̃ṯs̱,Five,,pãːts,,"grierson-lsi1928[p. 10-11, form MARATHIDESHI-5_five-1, concept 5_five]",,,grierson-lsi1928:MARATHIDESHI-5_five-1,,,,
LSI-NAGPURI,,pā̃ṯs̱,Five,,pãːts,,"grierson-lsi1928[p. 10-11, form NAGPURI-5_five-1, concept 5_five]",,,grierson-lsi1928:NAGPURI-5_five-1,,,,
LSI-KONKANI,,pā̃ṯs̱,Five,,pãːts,,"grierson-lsi1928[p. 10-11, form KONKANI-5_five-1, concept 5_five]",,,grierson-lsi1928:KONKANI-5_five-1,,,,
LSI-SINGHALESE,,paha,Five,,pʌhʌ,,"grierson-lsi1928[p. 10-11, form SINGHALESE-5_five-1, concept 5_five]",,,grierson-lsi1928:SINGHALESE-5_five-1,,,,
LSI-ORIYA,,pā̃cha,Five,,pãːtʃʌ,,"grierson-lsi1928[p. 10-11, form ORIYA-5_five-1, concept 5_five]",,,grierson-lsi1928:ORIYA-5_five-1,,,,
LSI-BIHARIMAITHILI,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form BIHARIMAITHILI-5_five-1, concept 5_five]",,,grierson-lsi1928:BIHARIMAITHILI-5_five-1,,,,
LSI-MAGAHI,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form MAGAHI-5_five-1, concept 5_five]",,,grierson-lsi1928:MAGAHI-5_five-1,,,,
LSI-BHOJPURINORTHERN,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form BHOJPURINORTHERN-5_five-1, concept 5_five]",,,grierson-lsi1928:BHOJPURINORTHERN-5_five-1,,,,
LSI-BHOJPURISOUTHERN,,pā̃ch-gō,Five,,pãːtʃ+goː,,"grierson-lsi1928[p. 10-11, form BHOJPURISOUTHERN-5_five-1, concept 5_five]",,,grierson-lsi1928:BHOJPURISOUTHERN-5_five-1,,,,
LSI-NAGPURIA,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form NAGPURIA-5_five-1, concept 5_five]",,,grierson-lsi1928:NAGPURIA-5_five-1,,,,
LSI-BENGALIWRITTEN,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form BENGALIWRITTEN-5_five-1, concept 5_five]",,,grierson-lsi1928:BENGALIWRITTEN-5_five-1,,,,
LSI-BENGALISPOKEN,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form BENGALISPOKEN-5_five-1, concept 5_five]",,,grierson-lsi1928:BENGALISPOKEN-5_five-1,,,,
LSI-SOUTHWESTERNBENGALI,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form SOUTHWESTERNBENGALI-5_five-1, concept 5_five]",,,grierson-lsi1928:SOUTHWESTERNBENGALI-5_five-1,,,,
LSI-SIRIPURIA,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form SIRIPURIA-5_five-1, concept 5_five]",,,grierson-lsi1928:SIRIPURIA-5_five-1,,,,
LSI-EASTERNBENGALI,,pāṯs̱,Five,,pʌːts,,"grierson-lsi1928[p. 10-11, form EASTERNBENGALI-5_five-1, concept 5_five]",,,grierson-lsi1928:EASTERNBENGALI-5_five-1,,,,
LSI-EASTERNBENGALIOFCACHAR,,pās,Five,,pʌːs,,"grierson-lsi1928[p. 10-11, form EASTERNBENGALIOFCACHAR-5_five-1, concept 5_five]",,,grierson-lsi1928:EASTERNBENGALIOFCACHAR-5_five-1,,,,
